"days.since.exposed","fever","meanIncubate","outcome","yymin","yymax"
0,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0
0,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0,0.05
0,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.05,0.05
0,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.05,0.05
0,"50% subclinical","Mean incubation 4.5d","missed: had both",0.05,0.05
0,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.05,0.05
0,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.05,0.2
0,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.2,1
0.1,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,8.48026718169107e-07
0.1,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",8.48026718169107e-07,0.0500008056253823
0.1,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0500008056253823,0.0500008056253823
0.1,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0500008056253823,0.0500008056253823
0.1,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0500008056253823,0.0500008601413856
0.1,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0500008601413856,0.0500011508934032
0.1,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0500011508934032,0.200000969173392
0.1,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.200000969173392,1
0.2,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,1.2641111107242e-05
0.2,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",1.2641111107242e-05,0.0500120090555519
0.2,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0500120090555519,0.0500120090555519
0.2,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0500120090555519,0.0500120090555519
0.2,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0500120090555519,0.0500128216984088
0.2,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0500128216984088,0.0500171557936455
0.2,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0500171557936455,0.200014446984123
0.2,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.200014446984123,1
0.3,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,5.96348782274944e-05
0.3,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",5.96348782274944e-05,0.0500566531343161
0.3,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0500566531343161,0.0500566531343161
0.3,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0500566531343161,0.0500566531343161
0.3,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0500566531343161,0.0500604868050593
0.3,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0500604868050593,0.050080933049023
0.3,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.050080933049023,0.200068154146546
0.3,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.200068154146546,1
0.4,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.000175671408427575
0.4,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.000175671408427575,0.0501668878380062
0.4,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0501668878380062,0.0501668878380062
0.4,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0501668878380062,0.0501668878380062
0.4,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0501668878380062,0.0501781809999765
0.4,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0501781809999765,0.0502384111971517
0.4,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0502384111971517,0.200200767323917
0.4,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.200200767323917,1
0.5,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.000399838050617585
0.5,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.000399838050617585,0.0503798461480867
0.5,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0503798461480867,0.0503798461480867
0.5,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0503798461480867,0.0503798461480867
0.5,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0503798461480867,0.0504055500227693
0.5,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0504055500227693,0.0505426373544096
0.5,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0505426373544096,0.200456957772134
0.5,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.200456957772134,1
0.6,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.000773126798638021
0.6,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.000773126798638021,0.0507344704587061
0.6,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0507344704587061,0.0507344704587061
0.6,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0507344704587061,0.0507344704587061
0.6,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0507344704587061,0.05078417146719
0.6,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.05078417146719,0.0510492435124373
0.6,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0510492435124373,0.200883573484158
0.6,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.200883573484158,1
0.7,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.00133591738993563
0.7,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.00133591738993563,0.0512691215204389
0.7,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0512691215204389,0.0512691215204389
0.7,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0512691215204389,0.0512691215204389
0.7,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0512691215204389,0.0513550019240776
0.7,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0513550019240776,0.0518130307434841
0.7,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0518130307434841,0.201526762731355
0.7,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.201526762731355,1
0.8,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.00212613420300682
0.8,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.00212613420300682,0.0520198274928565
0.8,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0520198274928565,0.0520198274928565
0.8,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0520198274928565,0.0520198274928565
0.8,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0520198274928565,0.0521565075487641
0.8,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0521565075487641,0.0528854678469378
0.8,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0528854678469378,0.202429867660579
0.8,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.202429867660579,1
0.9,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0031779502300539
0.9,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0031779502300539,0.0530190527185512
0.9,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0530190527185512,0.0530190527185512
0.9,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0530190527185512,0.0530190527185512
0.9,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0530190527185512,0.0532233495190547
0.9,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0532233495190547,0.0543129324550731
0.9,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0543129324550731,0.203631943120062
0.9,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.203631943120062,1
1,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.00452093136322157
1,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.00452093136322157,0.0542948847950605
1,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0542948847950605,0.0542948847950605
1,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0542948847950605,0.0542948847950605
1,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0542948847950605,0.0545855160969819
1,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0545855160969819,0.0561355497072293
1,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0561355497072293,0.205166778700825
1,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.205166778700825,1
1.1,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0061795313771637
1.1,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0061795313771637,0.0558705548083055
1.1,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0558705548083055,0.0558705548083055
1.1,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0558705548083055,0.0558705548083055
1.1,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0558705548083055,0.0562678103968375
1.1,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0562678103968375,0.0583865068690079
1.1,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0583865068690079,0.207062321573901
1.1,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.207062321573901,1
1.2,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.00817286268628514
1.2,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.00817286268628514,0.0577642195519709
1.2,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0577642195519709,0.0577642195519709
1.2,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0577642195519709,0.0577642195519709
1.2,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0577642195519709,0.0582896178675178
1.2,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0582896178675178,0.0610917422171013
1.2,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0610917422171013,0.209340414498612
1.2,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.209340414498612,1
1.3,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0105146805249024
1.3,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0105146805249024,0.0599889464986572
1.3,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0599889464986572,0.0599889464986572
1.3,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0599889464986572,0.0599889464986572
1.3,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0599889464986572,0.0606648902466867
1.3,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0606648902466867,0.0642699235695103
1.3,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0642699235695103,0.212016777742746
1.3,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.212016777742746,1
1.4,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0132135289256228
1.4,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0132135289256228,0.0625528524793416
1.4,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0625528524793416,0.0625528524793416
1.4,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0625528524793416,0.0625528524793416
1.4,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0625528524793416,0.0634022936245602
1.4,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0634022936245602,0.0679326463990595
1.4,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0679326463990595,0.215101175914998
1.4,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.215101175914998,1
1.5,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0162730060028669
1.5,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0162730060028669,0.0654593557027236
1.5,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0654593557027236,0.0654593557027236
1.5,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0654593557027236,0.0654593557027236
1.5,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0654593557027236,0.0665054775171936
1.5,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0665054775171936,0.0720847938610337
1.5,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0720847938610337,0.218597721146134
1.5,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.218597721146134,1
1.6,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0196921138008569
1.6,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0196921138008569,0.0687075081108141
1.6,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0687075081108141,0.0687075081108141
1.6,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0687075081108141,0.0687075081108141
1.6,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0687075081108141,0.0699734297122978
1.6,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0699734297122978,0.0767250115868773
1.6,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0767250115868773,0.222505272915265
1.6,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.222505272915265,1
1.7,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0234656645273364
1.7,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0234656645273364,0.0722923813009696
1.7,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0722923813009696,0.0722923813009696
1.7,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0722923813009696,0.0722923813009696
1.7,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0722923813009696,0.0738008883062984
1.7,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0738008883062984,0.0818462590013852
1.7,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0818462590013852,0.226817902316956
1.7,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.226817902316956,1
1.8,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0275847205304016
1.8,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0275847205304016,0.0762054845038815
1.8,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0762054845038815,0.0762054845038815
1.8,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0762054845038815,0.0762054845038815
1.8,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0762054845038815,0.0779787879665502
1.8,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0779787879665502,0.0874364064341165
1.8,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0874364064341165,0.231525394891888
1.8,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.231525394891888,1
1.9,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.032037050029556
1.9,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.032037050029556,0.0804351975280782
1.9,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0804351975280782,0.0804351975280782
1.9,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0804351975280782,0.0804351975280782
1.9,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0804351975280782,0.0824947221728353
1.9,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0824947221728353,0.0934788536115402
1.9,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0934788536115402,0.23661377146235
1.9,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.23661377146235,1
2,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.036807584508279
2,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.036807584508279,0.0849672052828651
2,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0849672052828651,0.0849672052828651
2,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0849672052828651,0.0849672052828651
2,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0849672052828651,0.0873334071441116
2,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0873334071441116,0.099953150404093
2,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.099953150404093,0.242065810866605
2,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.242065810866605,1
2.1,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0418788669225423
2.1,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0418788669225423,0.0897849235764152
